Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,Eigenvector_Centrality,Local_Clustering_Coefficient,Core-periphery_Coreness,ig_url,posts,Followers,Following,category,distinct_following
161,貝莉莓,28,15,11,0.14,0.001071,0.06543,0.521861,25,https://www.instagram.com/itsberrym/,762,303926,664,"遊戲電玩,表演藝術",665
162,蕭志瑋,30,22,20,0.15,0.005045,0.077217,0.498086,25,https://www.instagram.com/afunnywii/,1947,225341,991,"表演藝術,趣味搞笑",992
163,周小葳,8,22,4,0.04,0.001282,0.015159,0.397912,21,https://www.instagram.com/mayukichou/,8861,309258,1748,"時尚潮流,高階經理人",1746
164,胡子Huz,26,27,19,0.13,0.002631,0.053829,0.442605,24,https://www.instagram.com/huzihuang1989/,185,117022,371,趣味搞笑,371
165,柴犬Nana和阿楞的一天,10,0,0,0.05,0.0,0.023055,0.411111,9,https://www.instagram.com/nana_aleng/,1056,105966,0,寵物,0
166,那那大師,21,47,21,0.11,0.006401,0.057851,0.397652,26,https://www.instagram.com/tinana_master/,1273,74477,5177,趣味搞笑,5183
167,維思維,0,0,0,0.0,0.0,0.0,0.0,0,https://www.instagram.com/weisway18/,674,73874,7,知識教育,7
168,肉肉Neneko,1,0,0,0.01,0.0,0.0,0.0,1,https://www.instagram.com/neneko.n/,586,415646,74,表演藝術,74
169,上發條俱樂部,7,18,6,0.04,0.007045,0.005778,0.282313,15,https://www.instagram.com/wia627/,5234,164251,2540,"家庭母嬰,寵物,帶貨分潤",2541
170,牛排,36,23,16,0.18,0.001872,0.091523,0.549263,26,https://www.instagram.com/jam_steak/,871,386105,214,趣味搞笑,213
171,希露弟弟啃雞腿,7,53,7,0.04,0.004405,0.020086,0.366704,27,https://www.instagram.com/getwie__/,1826,48153,1038,寵物,1037
