source,target
Cheap-鄭才暐,有感筆電-Daptoper
Cheap-鄭才暐,中指通
Cheap-鄭才暐,郭哲榮
Cheap-鄭才暐,啾啾鞋
Cheap-鄭才暐,那個女生-Kiki
Cheap-鄭才暐,亞拉（貓貓蟲咖波）
Cheap-鄭才暐,館長-陳之漢
薔薔-林嘉凌,欣西亞和Shane
薔薔-林嘉凌,奎丁
薔薔-林嘉凌,小吳（見習網美小吳）
薔薔-林嘉凌,展榮&展瑞
薔薔-林嘉凌,波特王-陳加晉
薔薔-林嘉凌,白癡公主
薔薔-林嘉凌,吳卓源-Julia-Wu
喬瑟夫-ChillSeph,孫沁岳
喬瑟夫-ChillSeph,草爺（含羞草日記）
喬瑟夫-ChillSeph,琳妲-林羿禎
喬瑟夫-ChillSeph,試當真-Trial-&-Error
喬瑟夫-ChillSeph,許廷瑞（超認真少年Imserious）
啾啾鞋,茶里
啾啾鞋,許廷瑞（超認真少年Imserious）
啾啾鞋,孫沁岳
啾啾鞋,瑋瑋-黃挺瑋
啾啾鞋,關關關兒
啾啾鞋,Zoebitalk肉比頭
啾啾鞋,RuRu（Ru味春捲）
啾啾鞋,超粒方
啾啾鞋,令&一粒（壹加壹）
啾啾鞋,微疼
啾啾鞋,賤葆-J-Bao
啾啾鞋,一隻阿圓
啾啾鞋,李芷婷
啾啾鞋,HowHow-陳孜昊
啾啾鞋,嘎嫂二伯&蔡波能
啾啾鞋,床編故事-Bad-Time-Stories
啾啾鞋,反正我很閒
啾啾鞋,蔡哥
啾啾鞋,那個女生-Kiki
啾啾鞋,蔡阿嘎-蔡緯嘉
啾啾鞋,呱吉-邱威傑
啾啾鞋,冏星人-余玥
啾啾鞋,滴妹-都冠伶
啾啾鞋,阿滴-都省瑞
欣西亞和Shane,千千-Chien-Chien
欣西亞和Shane,王思佳
欣西亞和Shane,薔薔-林嘉凌
羅時豐,草爺（含羞草日記）
羅時豐,阿部瑪利亞
羅時豐,蛇丸
羅時豐,微疼
羅時豐,溫妮-黃于恩
羅時豐,千千-Chien-Chien
羅時豐,阿翰
有感筆電-Daptoper,Ian與Eric（The-DoDo-Men---嘟嘟人）
有感筆電-Daptoper,張志祺（志祺七七-X-圖文不符）
有感筆電-Daptoper,亞拉（貓貓蟲咖波）
有感筆電-Daptoper,阿滴-都省瑞
有感筆電-Daptoper,Cheap-鄭才暐
Den,阿滴-都省瑞
Den,千千-Chien-Chien
Den,蔡哥
Den,韓國女生Judy
多米多羅-Domidolo,床編故事-Bad-Time-Stories
多米多羅-Domidolo,中指通
多米多羅-Domidolo,亞洲統神-張嘉航
多米多羅-Domidolo,孫沁岳
多米多羅-Domidolo,錫蘭-Ceylan
多米多羅-Domidolo,鵝肉麵
呱吉-邱威傑,許廷瑞（超認真少年Imserious）
呱吉-邱威傑,艾瑞絲-Aries
呱吉-邱威傑,瑋瑋-黃挺瑋
呱吉-邱威傑,百靈果
呱吉-邱威傑,鐵牛-伍嘉緯
呱吉-邱威傑,令&一粒（壹加壹）
呱吉-邱威傑,洋蔥（Onion-Man）
呱吉-邱威傑,喬瑟夫-ChillSeph
呱吉-邱威傑,錫蘭-Ceylan
呱吉-邱威傑,中指通
呱吉-邱威傑,溫妮-黃于恩
呱吉-邱威傑,奎丁
呱吉-邱威傑,吳卓源-Julia-Wu
呱吉-邱威傑,鳥屎
呱吉-邱威傑,本本
呱吉-邱威傑,愛莉莎莎-Alisasa
呱吉-邱威傑,一隻阿圓
呱吉-邱威傑,理科太太-Li-Ke-Tai-Tai
呱吉-邱威傑,恩熙俊
呱吉-邱威傑,關關關兒
呱吉-邱威傑,阿翰
呱吉-邱威傑,白癡公主
呱吉-邱威傑,微疼
呱吉-邱威傑,6tan
呱吉-邱威傑,蔡阿嘎-蔡緯嘉
呱吉-邱威傑,阿滴-都省瑞
呱吉-邱威傑,蔡哥
呱吉-邱威傑,焦凡凡
呱吉-邱威傑,冏星人-余玥
呱吉-邱威傑,啾啾鞋
呱吉-邱威傑,千千-Chien-Chien
呱吉-邱威傑,HowHow-陳孜昊
呱吉-邱威傑,咪妃
蓋彼-Gabi,黑男
蓋彼-Gabi,小賴-賴晏駒
蓋彼-Gabi,阿滴-都省瑞
蓋彼-Gabi,烏鴉DoKa
蓋彼-Gabi,小哥哥艾理-陳玟里
蓋彼-Gabi,愛莉莎莎-Alisasa
蓋彼-Gabi,焦凡凡
蓋彼-Gabi,艾瑞絲-Aries
蓋彼-Gabi,洋蔥（Onion-Man）
亞洲統神-張嘉航,小慧就愛吃-シャオホイ
亞洲統神-張嘉航,洋蔥（Onion-Man）
亞洲統神-張嘉航,老王
亞洲統神-張嘉航,鳥屎
亞洲統神-張嘉航,李芷婷
亞洲統神-張嘉航,千千-Chien-Chien
亞洲統神-張嘉航,啾啾鞋
亞洲統神-張嘉航,鐵牛-伍嘉緯
亞洲統神-張嘉航,HowHow-陳孜昊
亞洲統神-張嘉航,龜狗
亞洲統神-張嘉航,國動
夠維根Go-Vegan,阿滴-都省瑞
夠維根Go-Vegan,一隻阿圓
夠維根Go-Vegan,Ian與Eric（The-DoDo-Men---嘟嘟人）
夠維根Go-Vegan,賀瓏-Hello
夠維根Go-Vegan,哲睿-Jerry
夠維根Go-Vegan,床編故事-Bad-Time-Stories
夠維根Go-Vegan,反正我很閒
夠維根Go-Vegan,營養健身葛格Peeta
夠維根Go-Vegan,HOOK
夠維根Go-Vegan,恩熙俊
夠維根Go-Vegan,HowHow-陳孜昊
夠維根Go-Vegan,Allen（Men's-Game-玩物誌）
恩恩老師EanTV,啾啾鞋
恩恩老師EanTV,Andy老師-王崇睿
恩恩老師EanTV,彼得爸與蘇珊媽
恩恩老師EanTV,阿滴-都省瑞
恩恩老師EanTV,理科太太-Li-Ke-Tai-Tai
恩恩老師EanTV,Bobo&Kira（Bobo-TV）
恩恩老師EanTV,焦凡凡
恩恩老師EanTV,哲哲-黃雍哲
恩恩老師EanTV,瑋瑋-黃挺瑋
恩恩老師EanTV,黃氏兄弟
賀瓏-Hello,薔薔-林嘉凌
賀瓏-Hello,李芷婷
賀瓏-Hello,阿部瑪利亞
賀瓏-Hello,許廷瑞（超認真少年Imserious）
賀瓏-Hello,鐵牛-伍嘉緯
賀瓏-Hello,Celine-and-Cynthia---不只是旅行
賀瓏-Hello,黃明志
賀瓏-Hello,洋蔥（Onion-Man）
